Product Handle,Variant Title,Variant SKU,Variant Price USD,Variant Option 1 Name,Variant Option 1 Value,Variant Option 2 Name,Variant Option 2 Value,Variant Option 3 Name,Variant Option 3 Value,Product Image 1 Url
bl-d-dc,Diamantina Doona Cover With Large French Hem Stitched Detail  Colour Optical White Size King 240x210cm ,BL_D_DCK,1200,Colour,Optical White,Size,King 240x210cm,,,https://purelinen.com.au/media/catalog/product/b/l/bl_001_8_1.jpg
bl-d-dc,Diamantina Doona Cover With Large French Hem Stitched Detail Colour Optical White Size Queen 210x210cm,BL_D_DCQ,1100,Colour,Optical White,Size,Queen 210x210cm,,,https://purelinen.com.au/media/catalog/product/b/l/bl_001_8_1_1.jpg
bl-d-pc,Diamantina Pillow Case Handmade Hem Stitched  Colour Optical White 73x48,BL_D_PC48,150,Size,73cm x 48cm,,,,,https://purelinen.com.au/media/catalog/product/b/l/bl_001_6_1.jpg
bl-d-pc,Diamantina Pillow Case With Large French Hem Stitched Detail Colour Optical White 65x65 ,BL_D_PC65,150,Size,65cm x 65cm,,,,,
bl-d-pc,Diamantina Pillow Case With Large French Hem Stitched Detail Colour Optical White 50x90,BL_D_PC50x90,160,Size,50cm x 90cm,,,,,
bl-d-ts,Diamantina Top Sheet  Colour Optical White King Size 280 x 270 ,BL_D_TSK,800,Colour,Optical White King,Size,280cm x 270cm,,,https://purelinen.com.au/media/catalog/product/b/l/bl_001_7_1.jpg
bl-d-ts,Diamantina Top Sheet  Colour Optical White Queen Size 250 x 270 ,BL_D_TSQ,700,Colour,Optical White Queen,Size,250cm x 270cm,,,
bl-ftd,Fitted Sheet  Colour Natural  Size King 180x203+50 ,BL_FTD_NKL,650,Colour,Natural Flax,Size,King - 180cm x 203cm + 50cm,,,https://purelinen.com.au/media/catalog/product/b/l/bl_002_doona_4.jpg
bl-ftd,Fitted Sheet  Colour Natural Size King Single 107x203x50 ,BL_FTD_NKSL,400,Colour,Natural Flax,Size,King Sinlge - 107cm x 203cm + 50cm,,,
bl-ftd,Fitted Sheet  Colour Natural Size Queen 152x203+50 ,BL_FTD_NQL,550,Colour,Natural Flax,Size,Queen - 152cm x 203cm + 50cm,,,
bl-ftd,Fitted Sheet  Colour Natural  Size Single 91x193x50 ,BL_FTD_NSL,350,Colour,Natural Flax,Size,Single - 91cm x 193cm + 50cm,,,
bl-ftd,Fitted Sheet  Colour  Natural Size Double 137x193x50 ,BL_FTD_NDL,450,Colour,Natural Flax,Size,Double - 137cm x 193cm + 50cm,,,
bl-ftd,Fitted Sheet  Colour  Optical White Size Double 137x193x50 ,BL_FTD_WDL,450,Colour,Optical White,Size,Double - 137cm x 193cm + 50cm,,,
bl-ftd,Fitted Sheet  Colour  Optical White Size King 180x203+50,BL_FTD_WKL,650,Colour,Optical White,Size,King - 180cm x 203cm + 50cm,,,https://purelinen.com.au/media/catalog/product/b/l/bl_fs_fitted_white_8.jpg
bl-ftd,Fitted Sheet  Colour  Optical White Size Queen 152x203+50 ,BL_FTD_WQL,550,Colour,Optical White,Size,Queen - 152cm x 203cm + 50cm,,,https://purelinen.com.au/media/catalog/product/b/l/bl_fs_fitted_white_2.jpg
bl-ftd,Fitted Sheet  Colour Optical White  Size Single 91x193x50 Made in Lithuania,BL_FTD_WSL,219.99,Colour,Optical White,Size,Single - 91cm x 193cm + 50cm,,,
bl-ftd,Fitted Sheet  Colour Optical White Size King Single 107x203x50 Made in Lithuania,BL_FTD_WKS,234.99,Colour,Optical White,Size,King Sinlge - 107cm x 203cm + 50cm,,,
bl-imp-pc,Set of x 2 Imperial Pillow Case Damask Hem Stitched  Colour Sky Blue & Silver Grey Flax Size 65x65 ,BL_IMP_PCIB65,240,Colour,Sky Blue & Silver Grey Flax,Size,65cm x 65cm,,,https://purelinen.com.au/media/catalog/product/b/l/bl_004_imperial__8_.jpg
bl-imp-pc,Set of x 2 Imperial Pillow Case Damask Hem Stitched Colour Sage Silver Grey Flax Size 65x65,BL_IMP_PCSG65,240,Colour,Sage Silver Grey Flax,Size,65cm x 65cm,,,
bl-ning-br,Ningaloo Bed Runner Stonewashed Blue 100% linen Size 140x220 Printed and made in Australia,BL_NING_BRB220,569,Colour,Blue,Size,140cm x 220cm,,,
bl-ning-br,Ningaloo Bed Runner Stonewashed Blue 100% linen Size 140x260 Printed and made in Australia,BL_NING_BRB260,579,Colour,Blue,Size,140cm x 260cm,,,
bl-ning-br,Ningaloo Bed Runner Stonewashed Pink 100% linen Size 140x220 Printed and made in Australia,BL_NING_BEP220,569,Colour,Pink,Size,140cm x 220cm,,,
bl-ning-br,Ningaloo Bed Runner Stonewashed Pink 100% linen Size 140x260 Printed and made in Australia,BL_NING_BRP260,579,Colour,Pink,Size,140cm x 260cm,,,
bl-ning-br,Ningaloo Bed Runner Stonewashed Grey 100% linen Size 140x220 Printed and made in Australia,BL_NING_BRG220,569,Colour,Grey,Size,140cm x 220cm,,,
bl-ning-br,Ningaloo Bed Runner Stonewashed Grey 100% linen Size 140x260 Printed and made in Australia,BL_NING_BRG260,579,Colour,Grey,Size,140cm x 260cm,,,
bl-ning-dc,Ningaloo Doona Cover Stonewashed Blue 100% linen Size King 240x210 Printed and made in Australia,BL_NING_DCBK,1300,Colour,Blue,Size,King - 240cm x 210cm,,,
bl-ning-dc,Ningaloo Doona Cover Stonewashed Blue 100% linen Size Queen 210x210 Printed and made in Australia,BL_NING_DCBQ,1300,Colour,Blue,Size,Queen - 210cm x 210cm,,,
bl-ning-dc,Ningaloo Doona Cover Stonewashed Pink 100% linen Size King 240x210 Printed and made in Australia,BL_NING_DCPK,1300,Colour,Pink,Size,King - 240cm x 210cm,,,
bl-ning-dc,Ningaloo Doona Cover Stonewashed Pink 100% linen Size Queen 210x210 Printed and made in Australia,BL_NING_DCPQ,1300,Colour,Pink,Size,Queen - 210cm x 210cm,,,
bl-ning-dc,Ningaloo Doona Cover Stonewashed Grey 100% linen Size King 240x210 Printed and made in Australia,BL_NING_DCGK,1300,Colour,Grey,Size,King - 240cm x 210cm,,,
bl-ning-dc,Ningaloo Doona Cover Stonewashed Grey 100% linen Size Queen 210x210 Printed and made in Australia,BL_NING_DCGQ,1300,Colour,Grey,Size,Queen - 210cm x 210cm,,,
bl-ning-pc,Ningaloo Pillow Case Stonewashed Blue 100% linen Size 48X73 Printed and made in Australia,BL_NING_PCB48,185,Colour,Blue,Size,48cm x 73cm,,,
bl-ning-pc,Ningaloo Pillow Case Stonewashed Blue 100% linen Size 65x65 Printed and made in Australia,BL_NING_PCB65,199,Colour,Blue,Size,65cm x 65cm,,,
bl-ning-pc,Ningaloo Pillow Case Stonewashed PInk 100% linen Size 48X73 Printed and made in Australia,BL_NING_PCP,185,Colour,Pink,Size,48cm x 73cm,,,
bl-ning-pc,Ningaloo Pillow Case Stonewashed PInk 100% linen Size 65x65 Printed and made in Australia,BL_NING_PCP65,199,Colour,Pink,Size,65cm x 65cm,,,
bl-ning-pc,Ningaloo Pillow Case Stonewashed Grey 100% linen Size 48X73 Printed and made in Australia,BL_NING_PCG48,185,Colour,Grey,Size,48cm x 73cm,,,
kl-fel-a,Felice Apron Stone Washed White,KL_FEL_SWW,160,Colour,Stone Washed White,,,,,
bl-ning-pc,Ningaloo Pillow Case Stonewashed Grey 100% linen Size 65x65 Printed and made in Australia,BL_NING_PCG65,199,Colour,Grey,Size,65cm x 65cm,,,
