Product Id,Product Handle,Product Title,Product Subtitle,Product Description,Product Status,Product Thumbnail,Product Weight,Product Length,Product Width,Product Height,Product HS Code,Product Origin Country,Product MID Code,Product Material,Product Collection Id,Product Type Id,Product Tag 1,Product Discountable,Product External Id,Variant Id,Variant Title,Variant SKU,Variant Barcode,Variant Allow Backorder,Variant Manage Inventory,Variant Weight,Variant Length,Variant Width,Variant Height,Variant HS Code,Variant Origin Country,Variant MID Code,Variant Material,Variant Price EUR,Variant Price USD,Variant Option 1 Name,Variant Option 1 Value,Variant Option 2 Name,Variant Option 2 Value,Variant Option 3 Name,Variant Option 3 Value,Product Image 1 Url,Product Image 2 Url
,bl-a-p,AMALFI Pillow Case ,,AMALFI Pillow Case Envelope Style Stone Grey  65x65,published,,,,,,,,,,,,,TRUE,,,AMALFI Pillow Case Envelope Style Stone Grey 65x65 ,BL_A_PCESSG65X65,,FALSE,TRUE,,,,,,,,,,120,Colour,Stone Grey,Size,65cm x 65cm,,,,
,bl-a-p,AMALFI Pillow Case ,,AMALFI Pillow Case Envelope Style Charcoal 48x73,published,,,,,,,,,,,,,TRUE,,,Set of x2 AMALFI Pillow Case Envelope Style Charcoal 48x73,BL_A_PCC48x2,,FALSE,TRUE,,,,,,,,,,240,Colour,Charcoal,Size,48cm x 73cm,,,https://purelinen.com.au/media/catalog/product/b/l/bl_amalfi_charcoal_3.jpg,
,bl-a-ts,AMALFI Top Sheet,,AMALFI Top Sheet  Colour Taupe Size Queen 250x270,published,,,,,,,,,,,,,TRUE,,,AMALFI Top Sheet  Colour Taupe Size Queen 250x270,BL_A_TSQT250X270,,FALSE,TRUE,,,,,,,,,,400,Colour,Taupe,Size,Queen,,,,
,bl-a-ts,AMALFI Top Sheet,,AMALFI Top Sheet  Colour Taupe Size King 270x280,published,,,,,,,,,,,,,TRUE,,,AMALFI Top Sheet  Colour Taupe Size King 270x280,BL_A_TSKT270X280,,FALSE,TRUE,,,,,,,,,,500,Colour,Taupe,Size,King - 270cm x 280cm,,,,
,bl-a-ts,AMALFI Top Sheet,,AMALFI Top Sheet  Colour Stone Grey Size King 270x280,published,,,,,,,,,,,,,TRUE,,,AMALFI Top Sheet  Colour Stone Grey Size King 270x280,BL_A_TSKSG270X280,,FALSE,TRUE,,,,,,,,,,500,Colour,Stone Grey,Size,King - 270cm x 280cm,,,,
,bl-a-ts,AMALFI Top Sheet,,AMALFI Top Sheet  Colour Charcoal Size King 270x280,published,,,,,,,,,,,,,TRUE,,,AMALFI Top Sheet  Colour Charcoal Size King 270x280,BL_A_TSKC270X280,,FALSE,TRUE,,,,,,,,,,500,Colour,Charcoal,Size,King - 270cm x 280cm,,,,
,bl-arc-dc,Arctic Doona Cover,,Arctic Doona  Colour French Navy Size King 240x210 Made in Australia,published,,,,,,,,,,,,,TRUE,,,Arctic Doona  Colour French Navy Size King 240x210 Made in Australia,BL_ARC_DCNK,,FALSE,TRUE,,,,,,,,,,960,Colour,French Navy,Size,King - 240cm x 210cm,,,,
,bl-arc-dc,Arctic Doona Cover,,Arctic Doona  Colour French Navy Size Queen 210x210cm Made in Australia,published,,,,,,,,,,,,,TRUE,,,Arctic Doona  Colour French Navy Size Queen 210x210cm Made in Australia,BL_ARC_DCNQ,,FALSE,TRUE,,,,,,,,,,960,Colour,French Navy,Size,Queen - 210cm x 210cm,,,,
,bl-arc-fs,Arctic Fitted Sheet ,,"Arctic Fitted Sheet Colour French Navy Size King 180x203+30 Made in Australia	",published,,,,,,,,,,,,,TRUE,,,Arctic Fitted Sheet Colour French Navy Size King 180x203+30 Made in Australia,BL_ARC_FSNK,,FALSE,TRUE,,,,,,,,,,480,Colour,French Navy,Size,King - 180cm x 203cm + 30cm,,,,
,bl-arc-fs,Arctic Fitted Sheet ,,Arctic Fitted Sheet Colour French Navy Size Queen 152x203+30 Made in Australia,published,,,,,,,,,,,,,TRUE,,,Arctic Fitted Sheet Colour French Navy Size Queen 152x203+30 Made in Australia,BL_ARC_FTNQ,,FALSE,TRUE,,,,,,,,,,460,Colour,French Navy,Size,Queen - 152cm x 203cm + 30cm,,,,
,bl-arc-p,Arctic Pillow Case,,Arctic Pillow Case <br />Composition 100% linen Colour Arctic Blue <br />Size 65x65  <br />,published,,,,,,,,,,,,,TRUE,,,Arctic Pillow Case  Colour Arctic Blue Size 65x65 Made in Europe,BL_ARC_PCAB65,,FALSE,TRUE,,,,,,,,,,160,Colour,Arctic Blue,Size,65cm x 65cm,,,,
,bl-arc-p,Arctic Pillow Case,,Arctic Pillow Case <br />Composition 100% linen Colour Artic Blue <br />Size 48x73 <br />,published,,,,,,,,,,,,,TRUE,,,Arctic Pillow Case  Colour Arctic Blue Size 48x73 Made in Europe,BL_ARC_PCAB48,,FALSE,TRUE,,,,,,,,,,160,Colour,Arctic Blue,Size,48cm x 73cm,,,,
,bl-arc-p,Arctic Pillow Case,,Arctic Pillow Case <br />Composition 100% linen Colour French Navy <br />Size 48x73 <br />,published,,,,,,,,,,,,,TRUE,,,Arctic Pillow Case  Colour French Navy Size 48x73 Made in Europe,BL_ARC_PCAFN48,,FALSE,TRUE,,,,,,,,,,160,Colour,French Navy,Size,48cm x 73cm,,,,
,bl-arc-p,Arctic Pillow Case,,Arctic Pillow Case <br />Composition 100% linen Colour French Navy <br />Size 65x65 <br />,published,,,,,,,,,,,,,TRUE,,,Arctic Pillow Case  Colour French Navy Size 65x65 Made in Europe,BL_ARC_PCAFN65,,FALSE,TRUE,,,,,,,,,,160,Colour,French Navy,Size,65cm x 65cm,,,,
,bl-arc-p,Arctic Pillow Case,,Arctic Pillow Case Composition 100% linen Colour Serena Size 48x73 ,published,,,,,,,,,,,,,TRUE,,,Arctic Pillow Case  Colour Serena Size 48x73 Made in Europe,BL_ARC_PCAS48,,FALSE,TRUE,,,,,,,,,,160,Colour,Serena,Size,48cm x 73cm,,,,
,bl-arc-p,Arctic Pillow Case,,Arctic Pillow Case Composition 100% linen Colour Serena Size 65x65 ,published,,,,,,,,,,,,,TRUE,,,Arctic Pillow Case  Colour Serena Size 65x65 Made in Europe,BL_ARC_PCAS65,,FALSE,TRUE,,,,,,,,,,160,Colour,Serena,Size,65cm x 65cm,,,,
,bl-arc-ts,Arctic Top Sheet ,,Arctic Top Sheet <br />Composition 100% linen Colour  French Navy <br />Size King <br />Size 280 x 270 <br />,published,,,,,,,,,,,,,TRUE,,,Arctic Top Sheet  Colour French Navy Size King Size 276 x 270 Made in Europe,BL_ARC_FSFNK,,FALSE,TRUE,,,,,,,,,,420,Colour,French Navy,Size,King - 276cm x 276cm,,,,
,bl-arc-ts,Arctic Top Sheet ,,Arctic Top Sheet <br />Composition 100% linen Colour French Navy <br />Size Queen <br />Size 250 x 270  <br />,published,,,,,,,,,,,,,TRUE,,,Arctic Top Sheet  Colour French Navy Size Queen Size 220 x 270 Made in Europe,BL_ARC_FSFNQ,,FALSE,TRUE,,,,,,,,,,400,Colour,French Navy,Size,Queen - 270cm x 270cm,,,,
,bl-arcs-p,Arctic Spring Pillow Case,,Arctic Spring Pillow Case Composition 100% linen Colour Duck Egg Size 65x65 ,published,,,,,,,,,,,,,TRUE,,,Arctic Spring Pillow Case  Colour Duck Egg Size 65x65 Made in Europe,BL_ARCS_PCDE65,,FALSE,TRUE,,,,,,,,,,160,Colour,Duck Egg Blue,Size,65cm x 65cm,,,,
,bl-arcs-p,Arctic Spring Pillow Case,,Arctic Spring Pillow Case Composition 100% linen Colour Tiffany Blue Size 65x65 ,published,,,,,,,,,,,,,TRUE,,,Arctic Spring Pillow Case  Colour Tiffany Blue Size 65x65 Made in Europe,BL_ARCS_PCTF65,,FALSE,TRUE,,,,,,,,,,160,Colour,Tiffany,Size,65cm x 65cm,,,,
,bl-arcs-p,Arctic Spring Pillow Case,,Arctic Spring Pillow Case Composition 100% linen Colour Tiffany Blue Size 48x73 ,published,,,,,,,,,,,,,TRUE,,,Arctic Spring Pillow Case  Colour Tiffany Blue Size 48x73  Made in Europe,BL_ARCS_PCTB48,,FALSE,TRUE,,,,,,,,,,160,Colour,Tiffany,Size,48cm x 73cm,,,,
,bl-arcs-p,Arctic Spring Pillow Case,,Arctic Spring Pillow Case Composition 100% linen Colour Lime Green Size 65x65 ,published,,,,,,,,,,,,,TRUE,,,Arctic Spring Pillow Case  Colour Lime Green Size 65x65 Made in Europe,BL_ARCS_PCLG65,,FALSE,TRUE,,,,,,,,,,160,Colour,Lime Green,Size,65cm x 65cm,,,,
,bl-arcs-p,Arctic Spring Pillow Case,,Acrtic Spring Pillow Case Composition 100% linen Colour Lime Green Size 48x73 ,published,,,,,,,,,,,,,TRUE,,,Arctic Spring Pillow Case  Colour Lime Green Size 48x73  Made in Europe,BL_ARCS_PCLG48,,FALSE,TRUE,,,,,,,,,,160,Colour,Lime Green,Size,48cm x 73cm,,,,
,bl-cas-bc,Casablanca Bed Cover,,Casablanca Bed Cover - King SIze,published,,,,,,,,,,,,,TRUE,,,Casablanca Bed Cover King Size 280x270 Made in Australia,BL_CAS_BCK,,FALSE,TRUE,,,,,,,,,,960,Size,King 280cm x 270cm,,,,,,
,bl-cas-bc,Casablanca Bed Cover,,Casablanca Bed Cover - Queen SIze ,published,,,,,,,,,,,,,TRUE,,,Casablanca Bed Cover Queen Size 250x270 Made in Australia,BL_CAS_BCQ,,FALSE,TRUE,,,,,,,,,,960,Size,Queen 250cm x 270cm,,,,,,
,bl-cas-bc,Casablanca Bed Cover,,Casablanca Bed Cover - Double SIze ,published,,,,,,,,,,,,,TRUE,,,Casablanca Bed Cover  Double Size 240x255 Made in Australia,BL_CAS_BCD,,FALSE,TRUE,,,,,,,,,,860,Size,Double 240cm x 255cm,,,,,,
,bl-cas-bc,Casablanca Bed Cover,,Casablanca Bed Cover Size King Single 200x270  Made in Australia,published,,,,,,,,,,,,,TRUE,,,Casablanca Bed Cover Size King Single 200x270  Made in Australia,BL_CAS_BCKS,,FALSE,TRUE,,,,,,,,,,640,Size,King Single 200cm x 270cm,,,,,,
,bl-cas-bc,Casablanca Bed Cover,,Casablanca Bed Cover Single 180x260 Made in Australia,published,,,,,,,,,,,,,TRUE,,,Casablanca Bed Cover Single 180x260 Made in Australia,BL_CAS_BCS,,FALSE,TRUE,,,,,,,,,,620,Size,Single 180cm x 260cm,,,,,,
,bl-cas-bc,Casablanca Bed Cover,,Casablanca Pillow Case with fringe 48x73 Made in Australia,published,,,,,,,,,,,,,TRUE,,,Casablanca Pillow Case with fringe 48x73 Made in Australia,BL_CAS_PC,,FALSE,TRUE,,,,,,,,,,140,Size,48cm x 73cm,,,,,,
