Product Id,Product Handle,Product Title,Product Subtitle,Product Description,Product Status,Product Thumbnail,Product Weight,Product Length,Product Width,Product Height,Product HS Code,Product Origin Country,Product MID Code,Product Material,Product Collection Id,Product Type Id,Product Tag 1,Product Discountable,Product External Id,Variant Id,Variant Title,Variant Option 1 Name,Variant Option 1 Value,Variant Option 2 Name,Variant Option 2 Value,,Variant SKU,Variant Barcode,Variant Allow Backorder,Variant Manage Inventory,Variant Weight,Variant Length,Variant Width,Variant Height,Variant HS Code,Variant Origin Country,Variant MID Code,Variant Material,Variant Price EUR,Variant Price USD,,,Product Image 1 Url,Product Image 2 Url
,bl-a-p,AMALFI Pillow Case ,,AMALFI Pillow Case Envelope Style Stone Grey 48x73 ,published,,,,,,,,,,,,,TRUE,,,AMALFI Pillow Case Envelope Style Stone Grey 48x73 ,Colour,Stone Grey,Size,48cm x 73cm,,BL_A_PCESG48X73,,FALSE,TRUE,,,,,,,,,,120,,,,
,bl-a-p,AMALFI Pillow Case ,,AMALFI Pillow Case Envelope Style Stone Grey  65x65,published,,,,,,,,,,,,,TRUE,,,AMALFI Pillow Case Envelope Style Stone Grey 65x65 ,Colour,Stone Grey,Size,65cm x 65cm,,BL_A_PCESSG65X65,,FALSE,TRUE,,,,,,,,,,120,,,,
,bl-a-p,AMALFI Pillow Case ,,AMALFI Pillow Case Envelope Style Charcoal 48x73,published,,,,,,,,,,,,,TRUE,,,Set of x2 AMALFI Pillow Case Envelope Style Charcoal 48x73,Colour,Charcoal,Size,48cm x 73cm,,BL_A_PCC48x2,,FALSE,TRUE,,,,,,,,,,240,,,,
,bl-a-ts,AMALFI Top Sheet,,AMALFI Top Sheet  Colour Taupe Size Queen 250x270,published,,,,,,,,,,,,,TRUE,,,AMALFI Top Sheet  Colour Taupe Size Queen 250x270,Colour,Taupe,Size,Queen,,BL_A_TSQT250X270,,FALSE,TRUE,,,,,,,,,,400,,,,
,bl-a-ts,AMALFI Top Sheet,,AMALFI Top Sheet  Colour Taupe Size King 270x280,published,,,,,,,,,,,,,TRUE,,,AMALFI Top Sheet  Colour Taupe Size King 270x280,Colour,Taupe,Size,King - 270cm x 280cm,,BL_A_TSKT270X280,,FALSE,TRUE,,,,,,,,,,500,,,,
,bl-a-ts,AMALFI Top Sheet,,AMALFI Top Sheet  Colour Stone Grey Size King 270x280,published,,,,,,,,,,,,,TRUE,,,AMALFI Top Sheet  Colour Stone Grey Size King 270x280,Colour,Stone Grey,Size,King - 270cm x 280cm,,BL_A_TSKSG270X280,,FALSE,TRUE,,,,,,,,,,500,,,,
,bl-a-ts,AMALFI Top Sheet,,AMALFI Top Sheet  Colour Charcoal Size King 270x280,published,,,,,,,,,,,,,TRUE,,,AMALFI Top Sheet  Colour Charcoal Size King 270x280,Colour,Charcoal,Size,King - 270cm x 280cm,,BL_A_TSKC270X280,,FALSE,TRUE,,,,,,,,,,500,,,,
,bl-arc-dc,Arctic Doona Cover,,Arctic Doona  Colour French Navy Size King 240x210 Made in Australia,published,,,,,,,,,,,,,TRUE,,,Arctic Doona  Colour French Navy Size King 240x210 Made in Australia,Colour,French Navy,Size,King - 240cm x 210cm,,BL_ARC_DCNK,,FALSE,TRUE,,,,,,,,,,960,,,,
,bl-arc-dc,Arctic Doona Cover,,Arctic Doona  Colour French Navy Size Queen 210x210cm Made in Australia,published,,,,,,,,,,,,,TRUE,,,Arctic Doona  Colour French Navy Size Queen 210x210cm Made in Australia,Colour,French Navy,Size,Queen - 210cm x 210cm,,BL_ARC_DCNQ,,FALSE,TRUE,,,,,,,,,,960,,,,
,bl-arc-fs,Arctic Fitted Sheet ,,"Arctic Fitted Sheet Colour French Navy Size King 180x203+30 Made in Australia	",published,,,,,,,,,,,,,TRUE,,,"Arctic Fitted Sheet Colour French Navy Size King 180x203+30 Made in Australia	",Colour,French Navy,Size,King - 180cm x 203cm + 30cm,,BL_ARC_FSNK,,FALSE,TRUE,,,,,,,,,,480,,,,
