fa-sw,Art.1027 Fabric Stone Washed Tobacco 185gsm,,"<p>Fabric Art.1027DE Stone Washed Duck Egg",published,,,,,,,,,,,,,TRUE,,,Art.1027DE Fabric Stone Washed Pearl Blue 185 gsm,FA_SW_DE,,FALSE,TRUE,,,,,,,,,,150,Size,DE
fa-yd,Fabric Article 106003B Herringbone Persian Blue  185 gsm,,Fabric Article 106003B Herringbone Persian Blue  185 gsm,published,,,,,,,,,,,,,TRUE,,,Fabric Article 106003B Herringbone Persian Blue  185 gsm,FA_YD_106003B,,FALSE,TRUE,,,,,,,,,,60,Size,106003B
fa-yd,Fabric Article 876 Arctic Blue 245 gsm,,Fabric Article 876 Arctic Blue 245 gsm,published,,,,,,,,,,,,,TRUE,,,Fabric Article 876 Arctic Blue 245 gsm,FA_YD_876B,,FALSE,TRUE,,,,,,,,,,50,Size,876B
fa-yd,Fabric Article 106003N Herringbone Natural 185 gsm,,Fabric Article 106003N Herringbone Natural 185 gsm,published,,,,,,,,,,,,,TRUE,,,Fabric Article 106003N Herringbone Natural  185 gsm,FA_YD_106003N,,FALSE,TRUE,,,,,,,,,,60,Size,106003N
fa-yd,Fabric Article 876 Denim 245 gsm,,Fabric Article 876 Denim 245 gsm,published,,,,,,,,,,,,,TRUE,,,Fabric Article 876 Denim 245 gsm,FA_YD_876D,,FALSE,TRUE,,,,,,,,,,50,Size,876D
fa-yd,"Fabric Article 876 Taupe Grey 240 gsm",,"Fabric Article 876 Taupe Grey 240 gsm",published,,,,,,,,,,,,,TRUE,,,Fabric Article 876 Taupe Grey 245 gsm,FA_YD_876TG,,FALSE,TRUE,,,,,,,,,,50,Size,876TG
fa-yd,Fabric Article 106003LP Herringbone Light Pewter 185 gsm,,Fabric Article 106003LP Herringbone Light Pewter 185 gsm,published,,,,,,,,,,,,,TRUE,,,Fabric Article 106003LP Herringbone Light Pewter 185 gsm,FA_YD_106003LP,,FALSE,TRUE,,,,,,,,,,60,Size,106003LP
fa-yd,Fabric Art.106003C Herringbone Charcoal,,"<p>Fabric Art.106003C Herringbone Charcoal</p>",published,,,,,,,,,,,,,TRUE,,,Fabric Article 106003C Herringbone Charcoal 185 gsm,FA_YD_106003C,,FALSE,TRUE,,,,,,,,,,100,Size,106003C
fa-yd,Fabric Article 908.42 Stone Washed Grey Mist 185 gsm ,,"<p>Fabric Article&nbsp;908.42 Stone Washed Grey Mist&nbsp;185 gm</p>",published,,,,,,,,,,,,,TRUE,,,Fabric Article 908.42 Stone Washed Grey Mist 185 gm,FA_YD_908.42GM,,FALSE,TRUE,,,,,,,,,,85,Size,908.42GM
fa-yd,Fabric Article 908.48 Stone Washed Vast Escape 185 gm,,"<p>Fabric Article&nbsp;908.48 Stone Washed&nbsp;Vast Escape&nbsp;185 gm</p>",published,,,,,,,,,,,,,TRUE,,,Fabric Article 908.48 Stone Washed Vast Escape 185 gm,FA_YD_908.48VE,,FALSE,TRUE,,,,,,,,,,85,Size,908.48VE
